customer_id,name,industry,city,country,seller_id,payment_terms,is_active
1,Südhandel GmbH 1,Retail,München,DE,2,NET45,true
2,Westlog GmbH 2,Software,Köln,DE,3,NET45,true
3,Ostbau GmbH 3,Logistics,Berlin,DE,4,NET14,true
4,Alpin GmbH 4,Healthcare,Stuttgart,DE,5,NET30,true
5,Hanse GmbH 5,Energy,Leipzig,DE,6,NET30,true
6,Rhein GmbH 6,Chemicals,Frankfurt,DE,7,NET14,true
7,Main GmbH 7,Manufacturing,Hamburg,DE,8,NET30,true
8,Elbe GmbH 8,Retail,München,DE,9,NET14,true
9,Donau GmbH 9,Software,Köln,DE,10,NET14,true
10,Nordwerk GmbH 10,Logistics,Berlin,DE,11,NET45,true
11,Südhandel GmbH 11,Healthcare,Stuttgart,DE,12,NET14,true
12,Westlog GmbH 12,Energy,Leipzig,DE,1,NET14,true
13,Ostbau GmbH 13,Chemicals,Frankfurt,DE,2,NET45,true
14,Alpin GmbH 14,Manufacturing,Hamburg,DE,3,NET45,true
15,Hanse GmbH 15,Retail,München,DE,4,NET45,true
16,Rhein GmbH 16,Software,Köln,DE,5,NET30,true
17,Main GmbH 17,Logistics,Berlin,DE,6,NET45,false
18,Elbe GmbH 18,Healthcare,Stuttgart,DE,7,NET45,true
19,Donau GmbH 19,Energy,Leipzig,DE,8,NET14,true
20,Nordwerk GmbH 20,Chemicals,Frankfurt,DE,9,NET14,true
21,Südhandel GmbH 21,Manufacturing,Hamburg,DE,10,NET30,true
22,Westlog GmbH 22,Retail,München,DE,11,NET30,true
23,Ostbau GmbH 23,Software,Köln,DE,12,NET14,true
24,Alpin GmbH 24,Logistics,Berlin,DE,1,NET14,true
25,Hanse GmbH 25,Healthcare,Stuttgart,DE,2,NET45,true
26,Rhein GmbH 26,Energy,Leipzig,DE,3,NET14,true
27,Main GmbH 27,Chemicals,Frankfurt,DE,4,NET14,true
28,Elbe GmbH 28,Manufacturing,Hamburg,DE,5,NET14,true
29,Donau GmbH 29,Retail,München,DE,6,NET14,true
30,Nordwerk GmbH 30,Software,Köln,DE,7,NET45,true
31,Südhandel GmbH 31,Logistics,Berlin,DE,8,NET45,true
32,Westlog GmbH 32,Healthcare,Stuttgart,DE,9,NET14,true
33,Ostbau GmbH 33,Energy,Leipzig,DE,10,NET30,true
34,Alpin GmbH 34,Chemicals,Frankfurt,DE,11,NET45,false
35,Hanse GmbH 35,Manufacturing,Hamburg,DE,12,NET14,true
36,Rhein GmbH 36,Retail,München,DE,1,NET30,true
37,Main GmbH 37,Software,Köln,DE,2,NET30,true
38,Elbe GmbH 38,Logistics,Berlin,DE,3,NET14,true
39,Donau GmbH 39,Healthcare,Stuttgart,DE,4,NET14,true
40,Nordwerk GmbH 40,Energy,Leipzig,DE,5,NET14,true
41,Südhandel GmbH 41,Chemicals,Frankfurt,DE,6,NET30,true
42,Westlog GmbH 42,Manufacturing,Hamburg,DE,7,NET14,true
43,Ostbau GmbH 43,Retail,München,DE,8,NET14,true
44,Alpin GmbH 44,Software,Köln,DE,9,NET45,true
45,Hanse GmbH 45,Logistics,Berlin,DE,10,NET14,true
46,Rhein GmbH 46,Healthcare,Stuttgart,DE,11,NET14,true
47,Main GmbH 47,Energy,Leipzig,DE,12,NET45,true
48,Elbe GmbH 48,Chemicals,Frankfurt,DE,1,NET30,true
49,Donau GmbH 49,Manufacturing,Hamburg,DE,2,NET30,true
50,Nordwerk GmbH 50,Retail,München,DE,3,NET30,true
51,Südhandel GmbH 51,Software,Köln,DE,4,NET30,false
52,Westlog GmbH 52,Logistics,Berlin,DE,5,NET30,true
53,Ostbau GmbH 53,Healthcare,Stuttgart,DE,6,NET14,true
54,Alpin GmbH 54,Energy,Leipzig,DE,7,NET14,true
55,Hanse GmbH 55,Chemicals,Frankfurt,DE,8,NET45,true
56,Rhein GmbH 56,Manufacturing,Hamburg,DE,9,NET30,true
57,Main GmbH 57,Retail,München,DE,10,NET30,true
58,Elbe GmbH 58,Software,Köln,DE,11,NET14,true
59,Donau GmbH 59,Logistics,Berlin,DE,12,NET30,true
60,Nordwerk GmbH 60,Healthcare,Stuttgart,DE,1,NET14,true
61,Südhandel GmbH 61,Energy,Leipzig,DE,2,NET45,true
62,Westlog GmbH 62,Chemicals,Frankfurt,DE,3,NET14,true
63,Ostbau GmbH 63,Manufacturing,Hamburg,DE,4,NET30,true
64,Alpin GmbH 64,Retail,München,DE,5,NET45,true
65,Hanse GmbH 65,Software,Köln,DE,6,NET14,true
66,Rhein GmbH 66,Logistics,Berlin,DE,7,NET45,true
67,Main GmbH 67,Healthcare,Stuttgart,DE,8,NET30,true
68,Elbe GmbH 68,Energy,Leipzig,DE,9,NET30,false
69,Donau GmbH 69,Chemicals,Frankfurt,DE,10,NET30,true
70,Nordwerk GmbH 70,Manufacturing,Hamburg,DE,11,NET30,true
71,Südhandel GmbH 71,Retail,München,DE,12,NET45,true
72,Westlog GmbH 72,Software,Köln,DE,1,NET45,true
73,Ostbau GmbH 73,Logistics,Berlin,DE,2,NET45,true
74,Alpin GmbH 74,Healthcare,Stuttgart,DE,3,NET30,true
75,Hanse GmbH 75,Energy,Leipzig,DE,4,NET45,true
76,Rhein GmbH 76,Chemicals,Frankfurt,DE,5,NET14,true
77,Main GmbH 77,Manufacturing,Hamburg,DE,6,NET45,true
78,Elbe GmbH 78,Retail,München,DE,7,NET45,true
79,Donau GmbH 79,Software,Köln,DE,8,NET45,true
80,Nordwerk GmbH 80,Logistics,Berlin,DE,9,NET30,true
