company_id,name,industry,country,city,created_at
1,Südhandel Cloud 1,Retail,NL,München,2023-01-05
2,Westlog Cloud 2,Healthcare,AT,Köln,2023-01-09
3,Ostbau Cloud 3,Retail,CH,Berlin,2023-01-13
4,Alpin Cloud 4,Retail,DE,Stuttgart,2023-01-17
5,Hanse Cloud 5,Finance,NL,Leipzig,2023-01-21
6,Rhein Cloud 6,Software,AT,Frankfurt,2023-01-25
7,Main Cloud 7,Healthcare,AT,Hamburg,2023-01-29
8,Elbe Cloud 8,Software,NL,München,2023-02-02
9,Donau Cloud 9,Software,CH,Köln,2023-02-06
10,Nordwerk Cloud 10,Healthcare,NL,Berlin,2023-02-10
11,Südhandel Cloud 11,Software,NL,Stuttgart,2023-02-14
12,Westlog Cloud 12,Retail,DE,Leipzig,2023-02-18
13,Ostbau Cloud 13,Retail,CH,Frankfurt,2023-02-22
14,Alpin Cloud 14,Healthcare,DE,Hamburg,2023-02-26
15,Hanse Cloud 15,Healthcare,NL,München,2023-03-02
16,Rhein Cloud 16,Finance,NL,Köln,2023-03-06
17,Main Cloud 17,Healthcare,NL,Berlin,2023-03-10
18,Elbe Cloud 18,Healthcare,DE,Stuttgart,2023-03-14
19,Donau Cloud 19,Healthcare,CH,Leipzig,2023-03-18
20,Nordwerk Cloud 20,Software,AT,Frankfurt,2023-03-22
21,Südhandel Cloud 21,Healthcare,DE,Hamburg,2023-03-26
22,Westlog Cloud 22,Retail,DE,München,2023-03-30
23,Ostbau Cloud 23,Healthcare,DE,Köln,2023-04-03
24,Alpin Cloud 24,Software,CH,Berlin,2023-04-07
25,Hanse Cloud 25,Software,NL,Stuttgart,2023-04-11
26,Rhein Cloud 26,Finance,DE,Leipzig,2023-04-15
27,Main Cloud 27,Healthcare,CH,Frankfurt,2023-04-19
28,Elbe Cloud 28,Retail,DE,Hamburg,2023-04-23
29,Donau Cloud 29,Finance,NL,München,2023-04-27
30,Nordwerk Cloud 30,Software,DE,Köln,2023-05-01
31,Südhandel Cloud 31,Finance,CH,Berlin,2023-05-05
32,Westlog Cloud 32,Finance,DE,Stuttgart,2023-05-09
33,Ostbau Cloud 33,Healthcare,DE,Leipzig,2023-05-13
34,Alpin Cloud 34,Finance,NL,Frankfurt,2023-05-17
35,Hanse Cloud 35,Finance,NL,Hamburg,2023-05-21
36,Rhein Cloud 36,Healthcare,DE,München,2023-05-25
37,Main Cloud 37,Finance,CH,Köln,2023-05-29
38,Elbe Cloud 38,Retail,DE,Berlin,2023-06-02
39,Donau Cloud 39,Software,NL,Stuttgart,2023-06-06
40,Nordwerk Cloud 40,Finance,CH,Leipzig,2023-06-10
41,Südhandel Cloud 41,Retail,AT,Frankfurt,2023-06-14
42,Westlog Cloud 42,Finance,NL,Hamburg,2023-06-18
43,Ostbau Cloud 43,Retail,CH,München,2023-06-22
44,Alpin Cloud 44,Healthcare,AT,Köln,2023-06-26
45,Hanse Cloud 45,Retail,CH,Berlin,2023-06-30
46,Rhein Cloud 46,Finance,AT,Stuttgart,2023-07-04
47,Main Cloud 47,Finance,AT,Leipzig,2023-07-08
48,Elbe Cloud 48,Software,AT,Frankfurt,2023-07-12
49,Donau Cloud 49,Software,CH,Hamburg,2023-07-16
50,Nordwerk Cloud 50,Finance,CH,München,2023-07-20
51,Südhandel Cloud 51,Retail,CH,Köln,2023-07-24
52,Westlog Cloud 52,Retail,NL,Berlin,2023-07-28
53,Ostbau Cloud 53,Finance,NL,Stuttgart,2023-08-01
54,Alpin Cloud 54,Healthcare,AT,Leipzig,2023-08-05
55,Hanse Cloud 55,Software,DE,Frankfurt,2023-08-09
56,Rhein Cloud 56,Retail,CH,Hamburg,2023-08-13
57,Main Cloud 57,Healthcare,DE,München,2023-08-17
58,Elbe Cloud 58,Retail,AT,Köln,2023-08-21
59,Donau Cloud 59,Healthcare,DE,Berlin,2023-08-25
60,Nordwerk Cloud 60,Healthcare,CH,Stuttgart,2023-08-29
61,Südhandel Cloud 61,Finance,CH,Leipzig,2023-09-02
62,Westlog Cloud 62,Finance,NL,Frankfurt,2023-09-06
63,Ostbau Cloud 63,Retail,NL,Hamburg,2023-09-10
64,Alpin Cloud 64,Software,DE,München,2023-09-14
65,Hanse Cloud 65,Software,AT,Köln,2023-09-18
66,Rhein Cloud 66,Finance,AT,Berlin,2023-09-22
67,Main Cloud 67,Software,AT,Stuttgart,2023-09-26
68,Elbe Cloud 68,Healthcare,DE,Leipzig,2023-09-30
69,Donau Cloud 69,Software,NL,Frankfurt,2023-10-04
70,Nordwerk Cloud 70,Healthcare,DE,Hamburg,2023-10-08
71,Südhandel Cloud 71,Software,AT,München,2023-10-12
72,Westlog Cloud 72,Healthcare,DE,Köln,2023-10-16
73,Ostbau Cloud 73,Finance,DE,Berlin,2023-10-20
74,Alpin Cloud 74,Finance,CH,Stuttgart,2023-10-24
75,Hanse Cloud 75,Software,AT,Leipzig,2023-10-28
76,Rhein Cloud 76,Software,NL,Frankfurt,2023-11-01
77,Main Cloud 77,Healthcare,AT,Hamburg,2023-11-05
78,Elbe Cloud 78,Software,AT,München,2023-11-09
79,Donau Cloud 79,Software,CH,Köln,2023-11-13
80,Nordwerk Cloud 80,Finance,AT,Berlin,2023-11-17
