entry_id,project_id,employee_id,worked_on,hours,hourly_rate,bill_amount,billable
1,1,45,2025-01-27,4.0,70.0,280.0,false
2,1,11,2025-06-25,6.0,100.0,600.0,true
3,1,26,2025-06-28,4.0,190.0,760.0,true
4,1,26,2025-01-21,4.0,190.0,760.0,true
5,1,45,2025-03-23,8.0,70.0,560.0,true
6,1,25,2025-01-21,1.0,175.0,175.0,false
7,1,45,2025-01-10,8.0,70.0,560.0,true
8,2,48,2025-06-04,6.0,115.0,690.0,true
9,2,38,2025-06-25,2.0,100.0,200.0,true
10,2,48,2025-01-11,6.0,115.0,690.0,true
11,2,3,2025-02-15,8.0,115.0,920.0,true
12,2,48,2025-06-29,8.0,115.0,920.0,true
13,2,38,2025-04-01,6.0,100.0,600.0,true
14,2,48,2025-04-20,4.0,115.0,460.0,true
15,2,48,2025-04-16,8.0,115.0,920.0,true
16,2,3,2025-03-09,2.0,115.0,230.0,true
17,2,3,2025-07-05,8.0,115.0,920.0,false
18,2,38,2025-05-01,4.0,100.0,400.0,true
19,2,38,2025-03-11,4.0,100.0,400.0,true
20,3,46,2025-03-10,4.0,85.0,340.0,true
21,3,53,2025-04-05,4.0,190.0,760.0,true
22,3,46,2025-05-21,8.0,85.0,680.0,true
23,3,53,2025-01-25,4.0,190.0,760.0,true
24,3,46,2025-01-13,4.0,85.0,340.0,true
25,3,46,2025-06-03,1.0,85.0,85.0,true
26,3,30,2025-04-15,4.0,115.0,460.0,true
27,3,46,2025-01-17,8.0,85.0,680.0,false
28,3,46,2025-04-05,4.0,85.0,340.0,true
29,3,53,2025-02-08,6.0,190.0,1140.0,true
30,4,49,2025-04-17,1.0,130.0,130.0,true
31,4,49,2025-07-02,1.0,130.0,130.0,true
32,4,32,2025-04-25,2.0,145.0,290.0,true
33,4,30,2025-02-12,6.0,115.0,690.0,true
34,4,49,2025-03-06,8.0,130.0,1040.0,true
35,4,30,2025-01-26,4.0,115.0,460.0,true
36,4,49,2025-06-29,1.0,130.0,130.0,false
37,4,49,2025-02-01,6.0,130.0,780.0,true
38,4,49,2025-04-11,8.0,130.0,1040.0,true
39,4,30,2025-06-03,4.0,115.0,460.0,true
40,5,36,2025-06-06,2.0,70.0,140.0,true
41,5,4,2025-07-02,2.0,130.0,260.0,true
42,5,53,2025-05-10,4.0,190.0,760.0,true
43,5,36,2025-05-24,4.0,70.0,280.0,false
44,5,53,2025-06-26,1.0,190.0,190.0,false
45,5,53,2025-03-13,2.0,190.0,380.0,true
46,5,4,2025-04-06,6.0,130.0,780.0,true
47,6,1,2025-06-16,8.0,85.0,680.0,true
48,6,1,2025-02-25,4.0,85.0,340.0,true
49,6,1,2025-05-07,1.0,85.0,85.0,true
50,6,1,2025-07-05,8.0,85.0,680.0,true
51,6,1,2025-05-22,2.0,85.0,170.0,true
52,6,1,2025-01-14,2.0,85.0,170.0,true
53,6,5,2025-02-28,1.0,145.0,145.0,true
54,6,5,2025-01-24,6.0,145.0,870.0,true
55,6,5,2025-03-15,8.0,145.0,1160.0,true
56,6,5,2025-04-01,2.0,145.0,290.0,true
57,6,5,2025-01-25,1.0,145.0,145.0,true
58,6,1,2025-02-07,1.0,85.0,85.0,false
59,6,5,2025-01-28,2.0,145.0,290.0,true
60,6,1,2025-04-28,2.0,85.0,170.0,true
61,7,37,2025-02-27,4.0,85.0,340.0,false
62,7,29,2025-06-27,8.0,100.0,800.0,true
63,7,4,2025-04-17,6.0,130.0,780.0,true
64,7,29,2025-04-04,6.0,100.0,600.0,true
65,7,4,2025-03-01,2.0,130.0,260.0,true
66,7,29,2025-01-29,6.0,100.0,600.0,true
67,8,32,2025-06-22,1.0,145.0,145.0,false
68,8,11,2025-01-11,1.0,100.0,100.0,true
69,8,11,2025-06-02,6.0,100.0,600.0,true
70,8,11,2025-02-17,4.0,100.0,400.0,false
71,8,32,2025-03-16,6.0,145.0,870.0,true
72,8,3,2025-04-27,8.0,115.0,920.0,true
73,8,3,2025-04-28,2.0,115.0,230.0,true
74,8,32,2025-07-01,4.0,145.0,580.0,true
75,8,22,2025-05-31,1.0,130.0,130.0,true
76,9,8,2025-04-11,6.0,190.0,1140.0,true
77,9,58,2025-01-27,2.0,130.0,260.0,true
78,9,8,2025-01-19,8.0,190.0,1520.0,false
79,9,58,2025-05-14,6.0,130.0,780.0,true
80,9,21,2025-02-08,8.0,115.0,920.0,true
81,9,8,2025-06-13,4.0,190.0,760.0,true
82,9,21,2025-04-01,2.0,115.0,230.0,false
83,9,28,2025-03-25,1.0,85.0,85.0,true
84,9,28,2025-05-17,8.0,85.0,680.0,false
85,9,8,2025-04-22,1.0,190.0,190.0,true
86,9,28,2025-03-28,1.0,85.0,85.0,true
87,10,8,2025-04-28,1.0,190.0,190.0,true
88,10,41,2025-04-25,6.0,145.0,870.0,true
89,10,48,2025-05-22,6.0,115.0,690.0,true
90,10,46,2025-05-02,8.0,85.0,680.0,true
91,10,48,2025-02-17,2.0,115.0,230.0,false
92,10,46,2025-03-17,8.0,85.0,680.0,true
93,10,48,2025-06-13,2.0,115.0,230.0,true
94,10,41,2025-03-29,8.0,145.0,1160.0,false
95,10,8,2025-02-12,6.0,190.0,1140.0,false
96,10,48,2025-01-13,1.0,115.0,115.0,true
97,10,8,2025-01-26,2.0,190.0,380.0,true
98,10,1,2025-01-10,1.0,85.0,85.0,true
99,10,48,2025-02-07,8.0,115.0,920.0,false
100,10,8,2025-05-10,4.0,190.0,760.0,true
101,11,35,2025-02-03,8.0,190.0,1520.0,true
102,11,35,2025-01-19,8.0,190.0,1520.0,true
103,11,35,2025-03-22,4.0,190.0,760.0,true
104,11,35,2025-06-05,8.0,190.0,1520.0,true
105,11,22,2025-06-11,1.0,130.0,130.0,true
106,11,51,2025-04-05,6.0,160.0,960.0,true
107,11,58,2025-03-30,6.0,130.0,780.0,true
108,12,26,2025-02-01,4.0,190.0,760.0,true
109,12,26,2025-05-27,1.0,190.0,190.0,true
110,12,26,2025-03-26,6.0,190.0,1140.0,true
111,12,26,2025-06-10,2.0,190.0,380.0,true
112,12,20,2025-02-15,1.0,100.0,100.0,false
113,12,26,2025-01-20,4.0,190.0,760.0,true
114,12,23,2025-03-25,4.0,145.0,580.0,true
115,12,26,2025-03-18,2.0,190.0,380.0,true
116,12,20,2025-03-29,6.0,100.0,600.0,true
117,12,20,2025-03-09,2.0,100.0,200.0,true
118,12,20,2025-05-24,2.0,100.0,200.0,false
119,12,26,2025-03-23,8.0,190.0,1520.0,true
120,13,11,2025-04-21,8.0,100.0,800.0,false
121,13,42,2025-05-14,6.0,160.0,960.0,true
122,13,40,2025-02-22,6.0,130.0,780.0,true
123,13,42,2025-03-15,8.0,160.0,1280.0,true
124,13,40,2025-05-29,1.0,130.0,130.0,false
125,13,42,2025-04-06,8.0,160.0,1280.0,false
126,14,3,2025-02-19,6.0,115.0,690.0,true
127,14,30,2025-01-30,2.0,115.0,230.0,true
128,14,30,2025-01-29,2.0,115.0,230.0,true
129,14,29,2025-06-20,1.0,100.0,100.0,true
130,14,3,2025-04-20,4.0,115.0,460.0,true
131,14,29,2025-05-11,6.0,100.0,600.0,true
132,14,29,2025-03-09,4.0,100.0,400.0,true
133,14,30,2025-04-27,2.0,115.0,230.0,true
134,14,29,2025-04-30,1.0,100.0,100.0,true
135,14,29,2025-07-04,4.0,100.0,400.0,true
136,15,31,2025-04-11,4.0,130.0,520.0,true
137,15,10,2025-06-24,6.0,85.0,510.0,true
138,15,15,2025-02-11,4.0,160.0,640.0,true
139,15,31,2025-04-20,6.0,130.0,780.0,true
140,15,15,2025-01-31,1.0,160.0,160.0,false
141,15,10,2025-06-28,6.0,85.0,510.0,true
142,15,31,2025-02-06,6.0,130.0,780.0,true
143,15,10,2025-06-15,6.0,85.0,510.0,false
144,15,60,2025-06-26,8.0,160.0,1280.0,true
145,15,31,2025-01-31,2.0,130.0,260.0,true
146,15,31,2025-04-03,1.0,130.0,130.0,false
147,15,10,2025-05-13,4.0,85.0,340.0,false
148,15,10,2025-05-23,4.0,85.0,340.0,true
149,15,10,2025-03-02,4.0,85.0,340.0,true
150,16,22,2025-06-26,8.0,130.0,1040.0,true
151,16,11,2025-04-27,1.0,100.0,100.0,true
152,16,15,2025-04-01,1.0,160.0,160.0,true
153,16,44,2025-04-24,4.0,190.0,760.0,true
154,16,11,2025-03-12,2.0,100.0,200.0,true
155,16,36,2025-05-06,1.0,70.0,70.0,true
156,16,44,2025-06-19,4.0,190.0,760.0,true
157,16,11,2025-03-02,6.0,100.0,600.0,true
158,16,11,2025-05-27,2.0,100.0,200.0,true
159,16,22,2025-03-31,6.0,130.0,780.0,true
160,16,36,2025-02-22,8.0,70.0,560.0,false
161,16,36,2025-03-13,6.0,70.0,420.0,true
162,17,46,2025-01-31,6.0,85.0,510.0,true
163,17,15,2025-02-16,4.0,160.0,640.0,true
164,17,15,2025-01-26,2.0,160.0,320.0,true
165,17,46,2025-04-22,6.0,85.0,510.0,true
166,17,8,2025-05-04,2.0,190.0,380.0,true
167,17,8,2025-04-13,8.0,190.0,1520.0,true
168,17,15,2025-04-08,6.0,160.0,960.0,true
169,17,8,2025-01-28,4.0,190.0,760.0,true
170,18,59,2025-01-31,2.0,145.0,290.0,true
171,18,47,2025-06-12,6.0,100.0,600.0,true
172,18,28,2025-02-22,4.0,85.0,340.0,true
173,18,47,2025-03-05,4.0,100.0,400.0,true
174,18,59,2025-02-11,2.0,145.0,290.0,true
175,18,52,2025-05-04,1.0,175.0,175.0,true
176,18,59,2025-01-16,2.0,145.0,290.0,false
177,18,5,2025-02-14,1.0,145.0,145.0,true
178,18,47,2025-01-24,1.0,100.0,100.0,true
179,18,28,2025-05-15,1.0,85.0,85.0,true
180,18,28,2025-06-17,6.0,85.0,510.0,true
181,19,29,2025-01-09,4.0,100.0,400.0,true
182,19,50,2025-05-03,4.0,145.0,580.0,false
183,19,11,2025-05-22,8.0,100.0,800.0,false
184,19,11,2025-04-22,6.0,100.0,600.0,true
185,19,11,2025-03-18,6.0,100.0,600.0,true
186,19,50,2025-05-29,4.0,145.0,580.0,true
187,19,29,2025-01-12,6.0,100.0,600.0,true
188,19,29,2025-02-23,8.0,100.0,800.0,true
189,20,53,2025-02-18,6.0,190.0,1140.0,true
190,20,53,2025-07-01,8.0,190.0,1520.0,true
191,20,35,2025-06-23,6.0,190.0,1140.0,true
192,20,39,2025-02-18,4.0,115.0,460.0,true
193,20,39,2025-01-06,8.0,115.0,920.0,true
194,20,39,2025-02-20,1.0,115.0,115.0,false
195,20,39,2025-05-10,8.0,115.0,920.0,true
196,20,53,2025-02-21,8.0,190.0,1520.0,true
197,20,39,2025-04-30,8.0,115.0,920.0,false
198,21,21,2025-03-30,2.0,115.0,230.0,true
199,21,21,2025-04-07,8.0,115.0,920.0,true
200,21,21,2025-04-10,2.0,115.0,230.0,false
201,21,20,2025-03-05,1.0,100.0,100.0,false
202,21,21,2025-05-25,6.0,115.0,690.0,true
203,21,21,2025-02-24,2.0,115.0,230.0,true
204,21,20,2025-06-06,6.0,100.0,600.0,true
205,21,20,2025-01-25,8.0,100.0,800.0,true
206,21,20,2025-02-13,2.0,100.0,200.0,true
207,21,21,2025-02-03,4.0,115.0,460.0,true
208,21,20,2025-06-30,8.0,100.0,800.0,false
209,21,20,2025-03-21,1.0,100.0,100.0,true
210,21,21,2025-03-02,1.0,115.0,115.0,true
211,21,21,2025-05-26,2.0,115.0,230.0,false
212,22,9,2025-04-20,1.0,70.0,70.0,true
213,22,9,2025-01-11,2.0,70.0,140.0,true
214,22,41,2025-03-22,1.0,145.0,145.0,true
215,22,9,2025-06-26,1.0,70.0,70.0,true
216,22,9,2025-06-13,1.0,70.0,70.0,true
217,22,9,2025-06-04,2.0,70.0,140.0,true
218,22,9,2025-05-16,4.0,70.0,280.0,true
219,22,9,2025-05-28,1.0,70.0,70.0,false
220,22,9,2025-06-16,8.0,70.0,560.0,true
221,23,4,2025-03-02,2.0,130.0,260.0,true
222,23,12,2025-06-11,1.0,115.0,115.0,true
223,23,12,2025-03-26,4.0,115.0,460.0,true
224,23,4,2025-04-12,2.0,130.0,260.0,true
225,23,4,2025-06-15,1.0,130.0,130.0,true
226,23,12,2025-02-02,1.0,115.0,115.0,true
227,23,12,2025-02-04,6.0,115.0,690.0,true
228,24,17,2025-02-22,2.0,190.0,380.0,true
229,24,3,2025-02-03,8.0,115.0,920.0,true
230,24,5,2025-06-19,1.0,145.0,145.0,true
231,24,17,2025-04-26,2.0,190.0,380.0,true
232,24,3,2025-03-15,4.0,115.0,460.0,true
233,24,17,2025-02-12,6.0,190.0,1140.0,true
234,24,3,2025-04-24,6.0,115.0,690.0,true
235,24,3,2025-04-10,2.0,115.0,230.0,true
236,24,17,2025-01-26,1.0,190.0,190.0,true
237,25,60,2025-03-09,1.0,160.0,160.0,true
238,25,22,2025-03-22,2.0,130.0,260.0,true
239,25,28,2025-05-25,6.0,85.0,510.0,true
240,25,28,2025-04-19,8.0,85.0,680.0,true
241,25,22,2025-01-08,8.0,130.0,1040.0,true
242,25,22,2025-04-01,8.0,130.0,1040.0,true
243,25,53,2025-01-24,4.0,190.0,760.0,true
244,25,60,2025-05-30,2.0,160.0,320.0,true
245,25,22,2025-01-13,1.0,130.0,130.0,false
246,25,60,2025-03-12,1.0,160.0,160.0,true
247,25,53,2025-01-18,8.0,190.0,1520.0,true
248,25,22,2025-03-14,1.0,130.0,130.0,false
249,25,53,2025-05-18,6.0,190.0,1140.0,true
250,26,18,2025-05-26,8.0,70.0,560.0,true
251,26,18,2025-01-31,8.0,70.0,560.0,true
